source_file,link,link_type,resolved_path,exists,note
index.php,"/', 'en",internal_root,"', 'en",no,
index.php,"/', 'fr",internal_root,"', 'fr",no,
index.php,"/', 'de",internal_root,"', 'de",no,
index.php,"'/', $locale",internal_rel,"'/', $locale",no,
index.php,"<?php echo htmlspecialchars($canonicalUrl, ENT_QUOTES, 'UTF-8'); ?>",internal_rel,<,no,
index.php,"<?php echo htmlspecialchars($alternateEnUrl, ENT_QUOTES, 'UTF-8'); ?>",internal_rel,<,no,
index.php,"<?php echo htmlspecialchars($alternateFrUrl, ENT_QUOTES, 'UTF-8'); ?>",internal_rel,<,no,
index.php,"<?php echo htmlspecialchars($alternateDeUrl, ENT_QUOTES, 'UTF-8'); ?>",internal_rel,<,no,
index.php,"<?php echo htmlspecialchars($xDefaultUrl, ENT_QUOTES, 'UTF-8'); ?>",internal_rel,<,no,
index.php,https://mydropintheoceans.org/favicon.ico,internal_abs,favicon.ico,yes,
index.php,https://mydropintheoceans.org/images/favicon.ico,internal_abs,images/favicon.ico,yes,
index.php,/images/connect-icons/apple-touch-icon.png,internal_root,images/connect-icons/apple-touch-icon.png,yes,
index.php,/css/mydropintheoceans-style.css?v=<?php echo time(); ?>,internal_root,css/mydropintheoceans-style.css,yes,
index.php,//ajax.googleapis.com/ajax/libs/jquery/3.7.0/jquery.min.js?v=<?php echo date('Ymd'); ?>,internal_root,ajax/libs/jquery/3.7.0/jquery.min.js,no,
index.php,/images/background/MyDIO_back.jpg,internal_root,images/background/MyDIO_back.jpg,yes,
contact/index.php,"'/contact/', $locale",internal_rel,"contact/'/contact/', $locale",no,
contact/index.php,"/contact/', 'en",internal_root,"contact/', 'en",no,
contact/index.php,"/contact/', 'fr",internal_root,"contact/', 'fr",no,
contact/index.php,"/contact/', 'de",internal_root,"contact/', 'de",no,
contact/index.php,"<?php echo htmlspecialchars($canonicalUrl, ENT_QUOTES, 'UTF-8'); ?>",internal_rel,contact/<,no,
